species_genome_size,mean(genome_size)
Eucalyptus ordiana,1.23
Eucalyptus oreades,1.15
Eucalyptus orgadophila,1.32
Eucalyptus ornans,1.12
Eucalyptus ornata,1.35
Eucalyptus orthostemon,1.25
Eucalyptus ovata,1.505
Eucalyptus ovularis,1.25
Eucalyptus oxymitra,1.29
Eucalyptus pachycalyx,1.16
Eucalyptus pachyloma,1.09
Eucalyptus pachyphylla,1.28
Eucalyptus paedoglauca,1.28
Eucalyptus paludicola,1.19
Eucalyptus panda,1.27
Eucalyptus paniculata,1.22
Eucalyptus parramattensis,1.17
Eucalyptus parvula,1.2
Eucalyptus patellaris,1.31
Eucalyptus patens,1.02
Eucalyptus pauciflora,1.12
Eucalyptus pendens,1.03
Eucalyptus peninsularis,1.31
Eucalyptus perangusta,1.21
Eucalyptus percostata,1.31
Eucalyptus perriniana,1.17
Eucalyptus persistens,1.26
Eucalyptus petiolaris,1.26
Eucalyptus petraea,1.24
Eucalyptus petrensis,1.28
Eucalyptus phaenophylla,1.33
Eucalyptus phenax,1.29
Eucalyptus pilbarensis,1.27
Eucalyptus pileata,1.31
Eucalyptus pilularis,1.15
Eucalyptus pimpiniana,1.26
Eucalyptus piperita,1.14
Eucalyptus planchoniana,1.14
Eucalyptus planipes,1.36
Eucalyptus platycorys,1.26
Eucalyptus platydisca,1.05
Eucalyptus platyphylla,1.16
Eucalyptus platypus,1.325
Eucalyptus pleurocarpa,1.24
Eucalyptus pluricaulis,1.2
Eucalyptus polita,1.31
Eucalyptus polyanthemos,1.26
Eucalyptus polybractea,1.3
Eucalyptus populnea,1.275
Eucalyptus porosa,1.27
Eucalyptus portulensis,1.07
Eucalyptus praetermissa,1.24
Eucalyptus prava,1.17
Eucalyptus preissiana,1.045
Eucalyptus prolixa,1.27
Eucalyptus prominens,1.35
Eucalyptus prominula,1.12
Eucalyptus propinqua,1.22
Eucalyptus protensa,1.26
Eucalyptus provecta,1.29
Eucalyptus proxima,1.28
Eucalyptus pruiniramis,1.26
Eucalyptus pruinosa,1.3
Eucalyptus psammitica,1.07
Eucalyptus pseudoglobulus,1.22
Eucalyptus pterocarpa,1.32
Eucalyptus pulchella,1.09
Eucalyptus pulverulenta,1.2
Eucalyptus pumila,1.13
Eucalyptus punctata,1.24
Eucalyptus purpurata,1.36
Eucalyptus pyriformis,1.3
Eucalyptus pyrocarpa,1.18
Eucalyptus quadrangulata,1.21
Eucalyptus quadrans,1.29
Eucalyptus quadricostata,1.31
Eucalyptus quaerenda,1.29
Eucalyptus radiata,1.11
Eucalyptus ralla,1.15
Eucalyptus rameliana,1.29
Eucalyptus raveretiana,1.2
Eucalyptus ravida,1.31
